event_name,encoding
dn_rxreq_dvmop,"type=0x1,eventid=0x1"
dn_rxreq_dvmop_vmid_filtered,"type=0x1,eventid=0x3"
dn_rxreq_dvmsync,"type=0x1,eventid=0x2"
dn_rxreq_retried,"type=0x1,eventid=0x4"
dn_rxreq_trk_occupancy_all,"type=0x1,eventid=0x5,occupid=0x0"
dn_rxreq_trk_occupancy_dvmop,"type=0x1,eventid=0x5,occupid=0x1"
dn_rxreq_trk_occupancy_dvmsync,"type=0x1,eventid=0x5,occupid=0x2"
dtc_cycles,type=0x3
hnf_brd_snoops_sent,"type=0x5,eventid=0x9"
hnf_cache_fill,"type=0x5,eventid=0x3"
hnf_cache_miss,"type=0x5,eventid=0x1"
hnf_cmp_adq_full,"type=0x5,eventid=0x13"
hnf_dir_snoops_sent,"type=0x5,eventid=0x8"
hnf_intv_dirty,"type=0x5,eventid=0x1c"
hnf_ld_st_swp_adq_full,"type=0x5,eventid=0x12"
hnf_mc_reqs,"type=0x5,eventid=0xd"
hnf_mc_retries,"type=0x5,eventid=0xc"
hnf_pocq_addrhaz,"type=0x5,eventid=0x10"
hnf_pocq_atomic_addrhaz,"type=0x5,eventid=0x11"
hnf_pocq_reqs_recvd,"type=0x5,eventid=0x5"
hnf_pocq_retry,"type=0x5,eventid=0x4"
hnf_qos_hh_retry,"type=0x5,eventid=0xe"
hnf_qos_pocq_occupancy_all,"type=0x5,eventid=0xf,occupid=0x0"
hnf_qos_pocq_occupancy_atomic,"type=0x5,eventid=0xf,occupid=0x3"
hnf_qos_pocq_occupancy_read,"type=0x5,eventid=0xf,occupid=0x1"
hnf_qos_pocq_occupancy_stash,"type=0x5,eventid=0xf,occupid=0x4"
hnf_qos_pocq_occupancy_write,"type=0x5,eventid=0xf,occupid=0x2"
hnf_seq_full,"type=0x5,eventid=0x16"
hnf_seq_hit,"type=0x5,eventid=0x17"
hnf_sf_evictions,"type=0x5,eventid=0x7"
hnf_sf_hit,"type=0x5,eventid=0x6"
hnf_sfbi_brd_snp_sent,"type=0x5,eventid=0x1a"
hnf_sfbi_dir_snp_sent,"type=0x5,eventid=0x19"
hnf_slc_eviction,"type=0x5,eventid=0xa"
hnf_slc_fill_invalid_way,"type=0x5,eventid=0xb"
hnf_slc_sf_cache_access,"type=0x5,eventid=0x2"
hnf_snp_fwded,"type=0x5,eventid=0x1f"
hnf_snp_sent,"type=0x5,eventid=0x18"
hnf_snp_sent_untrk,"type=0x5,eventid=0x1b"
hnf_stash_data_pull,"type=0x5,eventid=0x1e"
hnf_stash_snp_sent,"type=0x5,eventid=0x1d"
hnf_txdat_stall,"type=0x5,eventid=0x14"
hnf_txrsp_stall,"type=0x5,eventid=0x15"
hni_arready_no_arvalid,"type=0x4,eventid=0x2c"
hni_arvalid_no_arready,"type=0x4,eventid=0x2b"
hni_awready_no_awvalid,"type=0x4,eventid=0x2e"
hni_awvalid_no_awready,"type=0x4,eventid=0x2d"
hni_nonpcie_serialization,"type=0x4,eventid=0x31"
hni_pcie_serialization,"type=0x4,eventid=0x32"
hni_rdt_rd_alloc,"type=0x4,eventid=0x27"
hni_rdt_rd_occ_cnt_ovfl,"type=0x4,eventid=0x22"
hni_rdt_wr_alloc,"type=0x4,eventid=0x28"
hni_rdt_wr_occ_cnt_ovfl,"type=0x4,eventid=0x23"
hni_rrt_rd_alloc,"type=0x4,eventid=0x25"
hni_rrt_rd_occ_cnt_ovfl,"type=0x4,eventid=0x20"
hni_rrt_wr_alloc,"type=0x4,eventid=0x26"
hni_rrt_wr_occ_cnt_ovfl,"type=0x4,eventid=0x21"
hni_txdat_stall,"type=0x4,eventid=0x30"
hni_txrsp_retryack,"type=0x4,eventid=0x2a"
hni_wdb_alloc,"type=0x4,eventid=0x29"
hni_wdb_occ_cnt_ovfl,"type=0x4,eventid=0x24"
hni_wvalid_no_wready,"type=0x4,eventid=0x2f"
mxp_e_dat_partial_dat_flit,"type=0x6,eventid=0x63"
mxp_e_dat_txflit_stall,"type=0x6,eventid=0x62"
mxp_e_dat_txflit_valid,"type=0x6,eventid=0x61"
mxp_e_req_partial_dat_flit,"type=0x6,eventid=0x3"
mxp_e_req_txflit_stall,"type=0x6,eventid=0x2"
mxp_e_req_txflit_valid,"type=0x6,eventid=0x1"
mxp_e_rsp_partial_dat_flit,"type=0x6,eventid=0x23"
mxp_e_rsp_txflit_stall,"type=0x6,eventid=0x22"
mxp_e_rsp_txflit_valid,"type=0x6,eventid=0x21"
mxp_e_snp_partial_dat_flit,"type=0x6,eventid=0x43"
mxp_e_snp_txflit_stall,"type=0x6,eventid=0x42"
mxp_e_snp_txflit_valid,"type=0x6,eventid=0x41"
mxp_n_dat_partial_dat_flit,"type=0x6,eventid=0x6b"
mxp_n_dat_txflit_stall,"type=0x6,eventid=0x6a"
mxp_n_dat_txflit_valid,"type=0x6,eventid=0x69"
mxp_n_req_partial_dat_flit,"type=0x6,eventid=0xb"
mxp_n_req_txflit_stall,"type=0x6,eventid=0xa"
mxp_n_req_txflit_valid,"type=0x6,eventid=0x9"
mxp_n_rsp_partial_dat_flit,"type=0x6,eventid=0x2b"
mxp_n_rsp_txflit_stall,"type=0x6,eventid=0x2a"
mxp_n_rsp_txflit_valid,"type=0x6,eventid=0x29"
mxp_n_snp_partial_dat_flit,"type=0x6,eventid=0x4b"
mxp_n_snp_txflit_stall,"type=0x6,eventid=0x4a"
mxp_n_snp_txflit_valid,"type=0x6,eventid=0x49"
mxp_p0_dat_partial_dat_flit,"type=0x6,eventid=0x73"
mxp_p0_dat_txflit_stall,"type=0x6,eventid=0x72"
mxp_p0_dat_txflit_valid,"type=0x6,eventid=0x71"
mxp_p0_req_partial_dat_flit,"type=0x6,eventid=0x13"
mxp_p0_req_txflit_stall,"type=0x6,eventid=0x12"
mxp_p0_req_txflit_valid,"type=0x6,eventid=0x11"
mxp_p0_rsp_partial_dat_flit,"type=0x6,eventid=0x33"
mxp_p0_rsp_txflit_stall,"type=0x6,eventid=0x32"
mxp_p0_rsp_txflit_valid,"type=0x6,eventid=0x31"
mxp_p0_snp_partial_dat_flit,"type=0x6,eventid=0x53"
mxp_p0_snp_txflit_stall,"type=0x6,eventid=0x52"
mxp_p0_snp_txflit_valid,"type=0x6,eventid=0x51"
